,w,k,init_alpha,alpha,iters,final_dtv
120,50.0,100.0,0.4,0.3899717733714861,100.0,0.11304367460401976
121,50.0,100.0,0.5,0.38998885699676633,100.0,0.09569017606212213
122,50.0,100.0,0.6,0.6099999974755478,100.0,0.07942020706664045
123,50.0,100.0,0.7,0.5999998845780947,100.0,0.08273598315719158
124,50.0,100.0,0.8,0.7988915869659563,100.0,0.06655711451750332
125,50.0,100.0,0.9,0.8899990248687637,100.0,0.06408956547483206
126,50.0,1000.0,0.1,0.09400000048306373,100.0,0.06474345907056096
127,50.0,1000.0,0.2,0.20296465751258105,100.0,0.04603765667329524
128,50.0,1000.0,0.3,0.3012304059966949,100.0,0.034583543829025974
129,50.0,1000.0,0.4,0.3989471070974417,100.0,0.02726266731615876
130,50.0,1000.0,0.5,0.4991848432275876,100.0,0.026163612276424542
131,50.0,1000.0,0.6,0.6095783395984303,100.0,0.0226672951744903
132,50.0,1000.0,0.7,0.7074984392697374,100.0,0.02306505391416579
133,50.0,1000.0,0.8,0.81964811748354,100.0,0.020735502104851675
134,50.0,1000.0,0.9,0.8926102305024285,100.0,0.022216134904708088
135,100.0,10.0,0.1,0.5999999980875229,100.0,0.3627902409538075
136,100.0,10.0,0.2,0.6999999999985215,100.0,0.36571227724045074
137,100.0,10.0,0.3,0.8999999998688567,100.0,0.3602689031725136
138,100.0,10.0,0.4,0.1,100.0,0.7422025193221153
139,100.0,10.0,0.5,0.7999951399211461,100.0,0.23171294424683217
140,100.0,10.0,0.6,0.2,100.0,0.5003939080418598
141,100.0,10.0,0.7,0.7999998114610332,100.0,0.2310171635467643
142,100.0,10.0,0.8,0.4,100.0,0.38093000040632874
143,100.0,10.0,0.9,0.4,100.0,0.33664835451921116
144,100.0,100.0,0.1,0.09,100.0,0.2145808035453544
145,100.0,100.0,0.2,0.22999999999999968,100.0,0.1379729685269553
146,100.0,100.0,0.3,0.31997626726234696,100.0,0.11847060662558224
147,100.0,100.0,0.4,0.36999933680249447,100.0,0.10296460037327022
148,100.0,100.0,0.5,0.5599999957345085,100.0,0.08228277615895235
149,100.0,100.0,0.6,0.49999999999561845,100.0,0.09120539969744708
150,100.0,100.0,0.7,0.6499999967978901,100.0,0.07812425388746419
151,100.0,100.0,0.8,0.7799999607888704,100.0,0.065220371332016
152,100.0,100.0,0.9,0.04,100.0,0.3177990507964881
153,100.0,1000.0,0.1,0.08700000001016663,100.0,0.0669208193408643
154,100.0,1000.0,0.2,0.22598878091481622,100.0,0.03742523969880589
155,100.0,1000.0,0.3,0.2879999999962831,100.0,0.037809784566052204
156,100.0,1000.0,0.4,0.407991274304525,100.0,0.02811542560462875
157,100.0,1000.0,0.5,0.4997901665971507,100.0,0.028264091508901565
158,100.0,1000.0,0.6,0.5819999772797418,100.0,0.024693039829204358
159,100.0,1000.0,0.7,0.6799999994996172,100.0,0.024920200540930925
160,100.0,1000.0,0.8,0.805,100.0,0.024132008167924775
161,100.0,1000.0,0.9,0.9129919875120323,100.0,0.022361324634610172
