,w,k,init_alpha,is_estimated,list_of_dtv,iters,final_dtv
185,70.0,1000.0,0.6,no,0.0,100.0,0.026031261198337815
186,70.0,1000.0,0.7,no,0.0,100.0,0.023678463360949625
187,70.0,1000.0,0.8,no,0.0,100.0,0.024309141609638454
188,70.0,1000.0,0.9,no,0.0,100.0,0.020126121427368422
189,100.0,10.0,0.1,no,0.0,100.0,0.5883324715618643
190,100.0,10.0,0.2,no,0.0,100.0,0.6646394317653719
191,100.0,10.0,0.3,no,0.0,100.0,0.6512886729120435
192,100.0,10.0,0.4,no,0.0,100.0,0.49060412601578796
193,100.0,10.0,0.5,no,0.0,100.0,0.6667647975471324
194,100.0,10.0,0.6,no,0.0,100.0,0.66533803491165
195,100.0,10.0,0.7,no,0.0,100.0,0.290854631044681
196,100.0,10.0,0.8,no,0.0,100.0,0.665407016328977
197,100.0,10.0,0.9,no,0.0,100.0,0.3287403099190701
198,100.0,100.0,0.1,no,0.0,100.0,0.29327687826558907
199,100.0,100.0,0.2,no,0.0,100.0,0.22011526205587267
200,100.0,100.0,0.3,no,0.0,100.0,0.6461420415901925
201,100.0,100.0,0.4,no,0.0,100.0,0.5184877438513952
202,100.0,100.0,0.5,no,0.0,100.0,0.6506207576962437
203,100.0,100.0,0.6,no,0.0,100.0,0.29387679704750663
204,100.0,100.0,0.7,no,0.0,100.0,0.07200461770558898
205,100.0,100.0,0.8,no,0.0,100.0,0.2745976866057773
206,100.0,100.0,0.9,no,0.0,100.0,0.6599941563787075
207,100.0,1000.0,0.1,no,0.0,100.0,0.06480831054986695
208,100.0,1000.0,0.2,no,0.0,100.0,0.0450135242406902
209,100.0,1000.0,0.3,no,0.0,100.0,0.03988617197951624
210,100.0,1000.0,0.4,no,0.0,100.0,0.030508348859129838
211,100.0,1000.0,0.5,no,0.0,100.0,0.025538485698213386
212,100.0,1000.0,0.6,no,0.0,100.0,0.025823929433344817
213,100.0,1000.0,0.7,no,0.0,100.0,0.023875091369305823
214,100.0,1000.0,0.8,no,0.0,100.0,0.020472131683519735
215,100.0,1000.0,0.9,no,0.0,100.0,0.020972904645742724
