,w,k,init_alpha,is_estimated,list_of_dtv,iters,final_dtv
166,70.0,10.0,0.5,no,0.0,100.0,0.47811663595787046
167,70.0,10.0,0.6,no,0.0,100.0,0.4987903251943479
168,70.0,10.0,0.7,no,0.0,100.0,0.6468518715849808
169,70.0,10.0,0.8,no,0.0,100.0,0.6791018003943303
170,70.0,10.0,0.9,no,0.0,100.0,0.4692523755503616
171,70.0,100.0,0.1,no,0.0,100.0,0.3572211836061078
172,70.0,100.0,0.2,no,0.0,100.0,0.43552060670813586
173,70.0,100.0,0.3,no,0.0,100.0,0.12078223579884863
174,70.0,100.0,0.4,no,0.0,100.0,0.17968141262502768
175,70.0,100.0,0.5,no,0.0,100.0,0.09094630882502677
176,70.0,100.0,0.6,no,0.0,100.0,0.20852119717887305
177,70.0,100.0,0.7,no,0.0,100.0,0.40195719966131505
178,70.0,100.0,0.8,no,0.0,100.0,0.26188548245885146
179,70.0,100.0,0.9,no,0.0,100.0,0.08119431261049513
180,70.0,1000.0,0.1,no,0.0,100.0,0.0586852120908079
181,70.0,1000.0,0.2,no,0.0,100.0,0.04386351246072834
182,70.0,1000.0,0.3,no,0.0,100.0,0.03886717485499461
183,70.0,1000.0,0.4,no,0.0,100.0,0.032768361974256296
184,70.0,1000.0,0.5,no,0.0,100.0,0.02790509217083307
185,70.0,1000.0,0.6,no,0.0,100.0,0.026036361731147612
186,70.0,1000.0,0.7,no,0.0,100.0,0.02438694101341145
187,70.0,1000.0,0.8,no,0.0,100.0,0.023028305967462238
188,70.0,1000.0,0.9,no,0.0,100.0,0.021423158619821893
189,100.0,10.0,0.1,no,0.0,100.0,0.7366682934320121
190,100.0,10.0,0.2,no,0.0,100.0,0.644663362083875
191,100.0,10.0,0.3,no,0.0,100.0,0.7502736493565035
192,100.0,10.0,0.4,no,0.0,100.0,0.6604972124944732
193,100.0,10.0,0.5,no,0.0,100.0,0.4102429442342048
194,100.0,10.0,0.6,no,0.0,100.0,0.6503619557042899
195,100.0,10.0,0.7,no,0.0,100.0,0.6614290809403404
196,100.0,10.0,0.8,no,0.0,100.0,0.49639024054489617
197,100.0,10.0,0.9,no,0.0,100.0,0.40618456266271163
198,100.0,100.0,0.1,no,0.0,100.0,0.7450952661184562
199,100.0,100.0,0.2,no,0.0,100.0,0.6514199227064428
200,100.0,100.0,0.3,no,0.0,100.0,0.6452201265979063
201,100.0,100.0,0.4,no,0.0,100.0,0.38587399705105957
202,100.0,100.0,0.5,no,0.0,100.0,0.4770590026234599
203,100.0,100.0,0.6,no,0.0,100.0,0.4008365626928868
204,100.0,100.0,0.7,no,0.0,100.0,0.32390358666742664
205,100.0,100.0,0.8,no,0.0,100.0,0.3435597548939961
206,100.0,100.0,0.9,no,0.0,100.0,0.4528773066084071
207,100.0,1000.0,0.1,no,0.0,100.0,
208,100.0,1000.0,0.2,no,0.0,100.0,
209,100.0,1000.0,0.3,no,0.0,100.0,
210,100.0,1000.0,0.4,no,0.0,100.0,
211,100.0,1000.0,0.5,no,0.0,100.0,
212,100.0,1000.0,0.6,no,0.0,100.0,
213,100.0,1000.0,0.7,no,0.0,100.0,
214,100.0,1000.0,0.8,no,0.0,100.0,
215,100.0,1000.0,0.9,no,0.0,100.0,
